,County,Population_2015,Population_2016,Population_2017,Population_2018,Population_2019,Population_2020
0,CHURCHILL,24006,23957,24088,24574,25048,25363
1,CLARK,2097832,2140240,2183273,2228970,2275884,2315963
2,DOUGLAS,47422,47805,48014,48527,48998,49088
3,ELKO,51756,52022,52307,52470,52880,53006
4,ESMERALDA,847,839,858,827,870,886
5,EUREKA,2040,1943,1959,2019,2078,2065
6,HUMBOLDT,17033,16814,16734,16778,16884,16962
7,LANDER,5885,5700,5584,5512,5516,5514
8,LINCOLN,5135,5143,5179,5225,5179,5159
9,LYON,51999,52770,53945,55800,57499,58319
10,MINERAL,4423,4382,4458,4560,4516,4518
11,NYE,43008,43295,44046,45328,46845,48054
12,PERSHING,6620,6582,6475,6696,6628,6573
13,STOREY,3881,4004,4001,4027,4193,4207
14,WASHOE,442617,449990,456864,464593,472381,477082
15,WHITE PINE,9875,9746,9628,9532,9478,9466
16,CARSON,54152,54323,54684,55287,55894,56034
