,CTYNAME,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017,POPESTIMATE2018,POPESTIMATE2019,POPESTIMATE042020,POPESTIMATE2020
1776,Nevada,2868531,2919555,2972097,3030725,3090771,3128500,3138259
1777,Churchill County,24006,23957,24088,24574,25048,25334,25363
1778,Clark County,2097832,2140240,2183273,2228970,2275884,2307540,2315963
1779,Douglas County,47422,47805,48014,48527,48998,49135,49088
1780,Elko County,51756,52022,52307,52470,52880,52997,53006
1781,Esmeralda County,847,839,858,827,870,878,886
1782,Eureka County,2040,1943,1959,2019,2078,2085,2065
1783,Humboldt County,17033,16814,16734,16778,16884,16956,16962
1784,Lander County,5885,5700,5584,5512,5516,5523,5514
1785,Lincoln County,5135,5143,5179,5225,5179,5163,5159
1786,Lyon County,51999,52770,53945,55800,57499,58142,58319
1787,Mineral County,4423,4382,4458,4560,4516,4520,4518
1788,Nye County,43008,43295,44046,45328,46845,47792,48054
1789,Pershing County,6620,6582,6475,6696,6628,6577,6573
1790,Storey County,3881,4004,4001,4027,4193,4203,4207
1791,Washoe County,442617,449990,456864,464593,472381,476178,477082
1792,White Pine County,9875,9746,9628,9532,9478,9465,9466
1793,Carson City,54152,54323,54684,55287,55894,56012,56034
